"row ID","Col0","Col1","Col2","Prediction (DecTree)"
"Row99","Usama Fayyad","-","loser","-"
"Row100","Jude Shavlik","+","winner","+"
"Row101","David Helmbold","+","winner","+"
"Row102","Grigoris Karakoulas","-","loser","-"
"Row103","Tom Hancock","+","winner","+"
"Row104","Drago Indjic","-","loser","-"
"Row105","Gary Weiss","+","winner","+"
"Row106","Frank Stephan","-","loser","-"
"Row107","Kenji Yamanishi","+","winner","+"
"Row108","Wan P. Chiang","+","winner","+"
"Row109","Yoram Singer","+","winner","+"
"Row110","Melinda T. Gervasio","+","winner","+"
"Row111","Kate Goelz","+","winner","+"
"Row112","Roni Khardon","+","winner","+"
"Row113","Nikolay Nikolaev","+","winner","+"
"Row114","George H. John","+","winner","+"
"Row115","Diana Gordon","+","winner","+"
"Row116","Claire Cardie","-","loser","-"
"Row117","Moshe Koppel","+","winner","+"
"Row118","Andy Bernard","+","loser","-"
"Row119","Marcos Salganicoff","+","winner","+"
"Row120","David W. Opitz","+","winner","+"
"Row121","Mark Changizi","+","winner","+"
"Row122","Lars Asker","+","winner","+"
"Row123","Dana Ron","+","winner","+"
"Row124","Andrey Burago","-","loser","-"
"Row125","Eddy Mayoraz","-","loser","-"
"Row126","Mark Schwabacher","+","winner","+"
"Row127","Carl H. Smith","+","winner","+"
"Row128","Wee Sun Lee","+","winner","+"
"Row129","Mario Marchand","+","winner","+"
"Row130","David Pierce","+","winner","+"
"Row131","Dan Oblinger","+","winner","+"
"Row132","Lyle H. Ungar","-","loser","-"
"Row133","Hiroshi Tanaka","+","winner","+"
"Row134","Johanne Morin","+","winner","+"
"Row135","Thomas Wengerek","-","loser","-"
"Row136","Mark W. Craven","+","winner","+"
"Row137","Tom Fawcett","+","winner","+"
"Row138","John R. Rose","+","winner","+"
"Row139","Richard A. Caruana","+","winner","+"
"Row140","Steven Salzberg","-","loser","-"
"Row141","Barak A. Pearlmutter","+","winner","+"
"Row142","Chris Darken","-","loser","-"
"Row143","Judy A. Franklin","+","winner","+"
"Row144","Xuemei Wang","+","winner","+"
"Row145","Nitin Indurkhya","+","winner","+"
"Row146","Oded Maron","-","loser","-"
"Row147","Takefumi Yamazaki","+","winner","+"
"Row148","Satinder Pal Singh","+","winner","+"
"Row149","Ron Kohavi","+","winner","+"
"Row150","Michael de la Maza","+","winner","+"
"Row151","Robert Sloan","+","winner","+"
"Row152","Chun-Nan Hsu","-","loser","-"
"Row153","Daniel Kortenkamp","+","winner","+"
"Row154","Ricard Gavalda","+","winner","+"
"Row155","Joe Suzuki","+","winner","+"
"Row156","James S. Royer","+","winner","+"
"Row157","Jyrki Kivinen","-","loser","-"
"Row158","Tapio Elomaa","+","winner","+"
"Row159","Michael Redmond","+","winner","+"
"Row160","Rich Maclin","+","winner","+"
"Row161","Jiarong Hong","+","winner","+"
"Row162","Janusz Wnek","+","winner","+"
"Row163","David B. Skalak","+","winner","+"
"Row164","Daniel Hennessy","+","winner","+"
"Row165","David Cohn","+","winner","+"
"Row166","Merrick L. Furst","+","winner","+"
"Row167","Lindley Darden","+","winner","+"
"Row168","Steve A. Chien","-","loser","-"
"Row169","Wai Lam","+","winner","+"
"Row170","Paul W. Goldberg","+","winner","+"
"Row171","Stephen Muggleton","-","loser","-"
"Row172","Jason Catlett","+","winner","+"
"Row173","Justinian Rosca","+","winner","+"
"Row174","Sreerama K. Murthy","-","loser","-"
"Row175","Richard S. Sutton","+","winner","+"
"Row176","Michael W. Barley","+","winner","+"
"Row177","Leslie Grate","+","winner","+"
"Row178","Nathalie Japkowicz","+","winner","+"
"Row179","Randolph Jones","+","winner","+"
"Row180","John Rachlin","+","winner","+"
"Row181","Moshe Leshno","+","winner","+"
"Row182","Emanuel Knill","-","loser","-"
"Row183","Sholom Weiss","-","loser","-"
"Row184","Darko Zupanic","+","winner","+"
"Row185","Thomas G. Spalthoff","-","loser","-"
"Row186","Michael Kearns","+","winner","+"
"Row187","Holly Yanco","+","winner","+"
"Row188","Olivier De Vel","-","loser","-"
"Row189","Tom Bylander","+","winner","+"
"Row190","Johannes Furnkranz","+","winner","+"
"Row191","Pat Langley","+","winner","+"
"Row192","Javed Aslam","+","winner","+"
"Row193","Jean Gabriel Ganascia","+","winner","+"
"Row194","Sean Slattery","+","winner","+"
"Row195","Michael A. meystel","+","winner","+"
"Row196","Brian D. Davidson","-","loser","-"
"Row197","David Gillman","+","winner","+"
"Row198","Matevz Kovacic","+","winner","+"
"Row199","Bala Kalyanasundaram","+","winner","+"
"Row200","Martin Kummer","+","winner","+"
"Row201","Manfred Warmuth","+","winner","+"
"Row202","David Mathias","+","winner","+"
"Row203","Brian Tester","-","loser","-"
"Row204","Nicolas Fiechter","+","winner","+"
"Row205","Aurora Perez","+","winner","+"
"Row206","Michael Scott","-","winner","+"
"Row207","Naoki Abe","+","winner","+"
"Row208","Kimmen Sjolander","+","winner","+"
"Row209","Jeffery Clouse","+","winner","+"
"Row210","Robert P. Daley","+","winner","+"
"Row211","William Gasarch","+","winner","+"
"Row212","Reinhard Blasig","+","winner","+"
"Row213","Malini Bhandaru","+","winner","+"
"Row214","Robert Schapire","+","winner","+"
"Row215","Gary M. Selzer","+","winner","+"
"Row216","Clare Bates Congdon","-","loser","-"
"Row217","Martinch Krikis","+","winner","+"
"Row218","John Case","+","winner","+"
"Row219","Lance Fortnow","+","winner","+"
"Row220","Lorien Y. Pratt","+","winner","+"
"Row221","Klaus P. Jantke","-","loser","-"
"Row222","Haralabos Athanassiou","+","winner","+"
"Row223","Bradley L. Whitehall","-","loser","-"
"Row224","Sridhar Mahadevan","-","loser","-"
"Row225","Craig Nevill-Manning","-","loser","-"
"Row226","Paul Fischer","+","winner","+"
"Row227","Hal Duncan","+","winner","+"
"Row228","Von-Wun Soo","+","winner","+"
"Row229","Bill Byrne","+","winner","+"
"Row230","Myriam Abramson","-","loser","-"
"Row231","Creed Bratton","+","loser","-"
"Row232","Minoru Asada","+","winner","+"
"Row233","Tom M. Mitchell","+","winner","+"
"Row234","Jean-Daniel Zucker","+","winner","+"
"Row235","Sonya Snedecor","+","winner","+"
"Row236","Glenn Silverstein","-","loser","-"
"Row237","Avrim Blum","-","loser","-"
"Row238","Scott E. Decatur","-","loser","-"
"Row239","Dana Angluin","+","winner","+"
"Row240","Wolfgang Maass","+","winner","+"
"Row241","Chidanand Apte","-","loser","-"
"Row242","Marko Grobelnik","+","winner","+"
"Row243","Mary Soon Lee","+","winner","+"
"Row244","Zhixiang Chen","-","loser","-"
"Row245","Mona Singh","+","winner","+"
"Row246","Justin Boyan","+","winner","+"
"Row247","Daniel L. Silver","+","winner","+"
"Row248","David W. Aha","+","winner","+"
"Row249","Robert S. Roos","+","winner","+"
"Row250","David Loewenstern","+","winner","+"
"Row251","Eric Baum","-","loser","-"
"Row252","John M. Zelle","+","winner","+"
"Row253","Arun Sharma","-","loser","-"
"Row254","Ronitt Rubinfeld","+","winner","+"
"Row255","Thomas Ellman","-","loser","-"
"Row256","Aaron Feigelson","+","winner","+"
"Row257","Harris Drucker","+","winner","+"
"Row258","Carla E. Brodley","+","winner","+"
"Row259","Alexander M. Meystel","-","loser","-"
"Row260","Maja Mataric","+","winner","+"
"Row261","Leonard Pitt","+","winner","+"
"Row262","Eyal Kushilevitz","-","loser","-"
"Row263","Long-Ji Lin","+","winner","+"
"Row264","Ameur Foued","-","loser","-"
"Row265","Antoine Cornuejols","-","loser","-"
"Row266","Welton Becket","+","winner","+"
"Row267","Haym Hirsh","+","winner","+"
"Row268","Hiroshi Motoda","+","winner","+"
"Row269","John Fischer","+","winner","+"
"Row270","George A. Drastal","+","winner","+"
"Row271","William Cohen","+","winner","+"
"Row272","Jing Peng","+","winner","+"
"Row273","Alma Whitten","-","loser","-"
"Row274","David Haussler","+","winner","+"
"Row275","Joel Ratsaby","+","winner","+"
"Row276","L. Thorne McCarty","-","loser","-"
"Row277","Chen K. Tham","-","loser","-"
"Row278","Kan Deng","+","winner","+"
"Row279","Russell Greiner","+","winner","+"
"Row280","Steffen Lange","-","loser","-"
"Row281","Andrew W. Moore","-","loser","-"
"Row282","Armand Prieditis","-","loser","-"
"Row283","Dunja Mladenic","+","winner","+"
"Row284","Jong-Hoon Oh","+","winner","+"
"Row285","Ken Lang","+","winner","+"
"Row286","Bernhard Pfahringer","+","winner","+"
"Row287","Ronald L. Rivest","+","winner","+"
"Row288","Robert Williamson","+","winner","+"
"Row289","Stuart Russell","-","loser","-"
"Row290","Andrew Y. Ng","-","loser","-"
"Row291","Efim Kinber","-","loser","-"
"Row292","David Finton","+","winner","+"
"Row293","Mark Staley","+","winner","+"
"Row294","Filippo Neri","+","winner","+"
"Row295","Jonathan Hodgson","+","winner","+"
"Row296","Dennis F. Kibler","+","winner","+"
"Row297","Michael J. Donahue","+","winner","+"
